INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
FUTSTK,COFORGE,27-May-2021,0,XX,2867.65,2979,2867.65,2979,2979,10,110.36,3750,750,30-Mar-2021
FUTSTK,COFORGE,24-Jun-2021,0,XX,0,0,0,2777.25,2986.15,0,0,0,0,30-Mar-2021
FUTSTK,COLPAL,29-Apr-2021,0,XX,1540,1569.80,1535,1565.30,1565.30,891,9724.51,3436300,-17500,30-Mar-2021
FUTSTK,COLPAL,27-May-2021,0,XX,1555.85,1573,1555.85,1573,1562,4,43.90,14700,1400,30-Mar-2021
FUTSTK,COLPAL,24-Jun-2021,0,XX,1555,1555,1555,1555,1566.45,1,10.88,700,700,30-Mar-2021
FUTSTK,CONCOR,29-Apr-2021,0,XX,597.30,612.40,589.90,601.55,601.55,2569,24161.97,5590851,-190686,30-Mar-2021
FUTSTK,CONCOR,27-May-2021,0,XX,595,608.95,595,608.25,601.40,23,217.46,39075,3126,30-Mar-2021
FUTSTK,CONCOR,24-Jun-2021,0,XX,0,0,0,580.85,603.10,0,0,1563,0,30-Mar-2021
FUTSTK,CUB,29-Apr-2021,0,XX,160.15,162.50,151.25,155.50,155.50,1274,6200.22,8205700,1193500,30-Mar-2021
FUTSTK,CUB,27-May-2021,0,XX,161.65,163,153.90,156.50,156.50,44,215.87,139500,43400,30-Mar-2021
FUTSTK,CUB,24-Jun-2021,0,XX,0,0,0,162.35,155.30,0,0,0,0,30-Mar-2021
FUTSTK,CUMMINSIND,29-Apr-2021,0,XX,862.05,892,859.40,887.85,887.85,1070,11293.90,1629600,31200,30-Mar-2021
FUTSTK,CUMMINSIND,27-May-2021,0,XX,858.50,886,858.50,886,903.25,13,135.78,20400,6000,30-Mar-2021
FUTSTK,CUMMINSIND,24-Jun-2021,0,XX,0,0,0,851,905.85,0,0,1200,0,30-Mar-2021
FUTSTK,DABUR,29-Apr-2021,0,XX,534.25,544,534.10,542.25,542.25,2230,15077,8202500,72500,30-Mar-2021
FUTSTK,DABUR,27-May-2021,0,XX,539.05,546,538,544.20,544.20,69,468.32,67500,8750,30-Mar-2021
FUTSTK,DABUR,24-Jun-2021,0,XX,541.45,547.50,540.50,546.90,546.90,8,54.42,11250,2500,30-Mar-2021
FUTSTK,DEEPAKNTR,29-Apr-2021,0,XX,1563.60,1648.80,1552.55,1637.05,1637.05,2457,19733.10,733000,91000,30-Mar-2021
FUTSTK,DEEPAKNTR,27-May-2021,0,XX,1558.50,1648.90,1555.05,1648.90,1648.90,20,160.59,19500,3500,30-Mar-2021
FUTSTK,DEEPAKNTR,24-Jun-2021,0,XX,0,0,0,1590,1640.45,0,0,500,0,30-Mar-2021
FUTSTK,DIVISLAB,29-Apr-2021,0,XX,3486.30,3627,3486.30,3610.35,3610.35,4363,31287.35,2456600,-7200,30-Mar-2021
FUTSTK,DIVISLAB,27-May-2021,0,XX,3558.80,3638.50,3548,3622.25,3622.25,60,431.51,34000,2200,30-Mar-2021
